experimentNumber,easyAxisOrientation,x,y,orientationEstimate,estimationError
158,62,0.00255,-0.00267,63.11504039960391,1.115040399603913
159,62,-0.00753,0.00161,60.935749201172555,-1.0642507988274446
160,62,0.0058,-5.0e-5,62.37290161496371,0.372901614963709
161,62,-0.0016,-0.00386,63.01297835663538,1.0129783566353794
162,62,0.00797,0.00776,62.58712156182268,0.587121561822677
163,62,0.00307,0.00401,61.196465552785725,-0.8035344472142754
164,62,-0.00107,0.00445,61.61305738368706,-0.38694261631294324
165,62,0.00536,0.00338,62.82784748565762,0.827847485657621
166,62,-0.00329,0.0002,62.31247462089291,0.3124746208929068
167,62,-0.00855,0.00762,62.230867087501316,0.23086708750131635
168,62,0.00273,0.00644,62.53381287201783,0.5338128720178332
169,63,0.0,0.0,64.45445377362083,1.454453773620827
170,63,-0.00403,-0.00849,62.8460237767001,-0.15397622329989957
171,63,-0.00577,-0.00318,65.50437270814658,2.504372708146576
172,63,0.00088,-0.00557,63.46626071142279,0.466260711422791
173,63,0.00316,0.00121,63.63054987198863,0.6305498719886273
174,63,0.00763,0.00886,63.43037488081093,0.43037488081093045
175,63,0.00869,-0.00764,61.36711469677332,-1.6328853032266792
176,63,0.00074,-0.00344,64.86360653304808,1.8636065330480847
177,63,-0.00659,0.00095,65.29110130482086,2.291101304820856
178,63,0.00165,-0.0075,65.19812859888081,2.198128598880814
179,63,0.00255,-0.00267,63.57100116924094,0.5710011692409367
180,63,-0.00753,0.00161,63.23714843836986,0.23714843836985722
181,63,0.0058,-5.0e-5,63.99873992549185,0.9987399254918472
182,63,-0.0016,-0.00386,64.98728197998541,1.9872819799854113
183,63,0.00797,0.00776,62.96056329865419,-0.03943670134580657
184,63,0.00307,0.00401,63.54109191176847,0.5410919117684685
185,63,-0.00107,0.00445,61.801161627807375,-1.1988383721926255
186,63,0.00536,0.00338,62.300964102028836,-0.6990358979711644
187,63,-0.00329,0.0002,64.97765498673141,1.9776549867314088
188,63,-0.00855,0.00762,62.89712075747758,-0.10287924252241964
189,63,0.00273,0.00644,62.829435467498634,-0.17056453250136627
190,66,0.0,0.0,65.95174990546411,-0.04825009453588791
191,66,-0.00403,-0.00849,67.5113430310445,1.511343031044504
192,66,-0.00577,-0.00318,67.76292723381752,1.7629272338175213
193,66,0.00088,-0.00557,66.07940560129967,0.07940560129966912
194,66,0.00316,0.00121,65.24927529969966,-0.7507247003003386
195,66,0.00763,0.00886,67.56872721697566,1.5687272169756596
196,66,0.00869,-0.00764,64.03174180997837,-1.9682581900216292
197,66,0.00074,-0.00344,67.7435355659583,1.7435355659582967
198,66,-0.00659,0.00095,69.19914183231076,3.199141832310758
199,66,0.00165,-0.0075,65.62682024597567,-0.3731797540243349
200,66,0.00255,-0.00267,67.29772778739985,1.2977277873998503
201,66,-0.00753,0.00161,66.6638905726231,0.663890572623103
202,66,0.0058,-5.0e-5,65.05674919180213,-0.9432508081978739
203,66,-0.0016,-0.00386,66.89314183967099,0.8931418396709887
204,66,0.00797,0.00776,65.93290506163044,-0.06709493836956426
205,66,0.00307,0.00401,65.08918022282568,-0.9108197771743249
206,66,-0.00107,0.00445,66.29732875991012,0.29732875991011554
207,66,0.00536,0.00338,67.03790397282606,1.037903972826058
208,66,-0.00329,0.0002,67.18414981686753,1.1841498168675315
209,66,-0.00855,0.00762,65.6105078376814,-0.3894921623186036
210,66,0.00273,0.00644,64.7357252177628,-1.2642747822371945
211,71,0.0,0.0,72.619455497306,1.6194554973060065
212,71,-0.00403,-0.00849,73.67113764823024,2.6711376482302427
213,71,-0.00577,-0.00318,73.96883816644105,2.9688381664410457
214,71,0.00088,-0.00557,71.35943230599678,0.35943230599677634
215,71,0.00316,0.00121,71.48981041209743,0.4898104120974267
216,71,0.00763,0.00886,71.3664363650959,0.3664363650958933
217,71,0.00869,-0.00764,70.46011840769827,-0.5398815923017253
218,71,0.00074,-0.00344,72.95323436744665,1.9532343674466546
219,71,-0.00659,0.00095,75.12200896560108,4.122008965601083
220,71,0.00165,-0.0075,70.09391957707173,-0.9060804229282695
221,71,0.00255,-0.00267,72.62178226297249,1.6217822629724878
222,71,-0.00753,0.00161,72.17235511638704,1.1723551163870383
223,71,0.0058,-5.0e-5,71.07858116152052,0.07858116152051764
224,71,-0.0016,-0.00386,71.21556772101724,0.2155677210172371
225,71,0.00797,0.00776,70.89579885110173,-0.10420114889826948
226,71,0.00307,0.00401,71.51786245081365,0.5178624508136522
227,71,-0.00107,0.00445,71.1468079049608,0.1468079049607951
228,71,0.00536,0.00338,71.78691359874863,0.786913598748626
229,71,-0.00329,0.0002,73.5071505983707,2.5071505983707
230,71,-0.00855,0.00762,70.65848741925404,-0.34151258074595603
231,71,0.00273,0.00644,71.15222683467604,0.1522268346760427
232,81,0.0,0.0,79.15173612423023,-1.8482638757697742
233,81,-0.00403,-0.00849,80.51998546140817,-0.4800145385918313
234,81,-0.00577,-0.00318,81.35001460929695,0.3500146092969487
235,81,0.00088,-0.00557,82.42471143223446,1.42471143223446
236,81,0.00316,0.00121,80.30757330142974,-0.6924266985702587
237,81,0.00763,0.00886,82.86939542046385,1.8693954204638459
238,81,0.00869,-0.00764,79.33032132385617,-1.6696786761438318
239,81,0.00074,-0.00344,82.68957367045407,1.6895736704540667
240,81,-0.00659,0.00095,81.21725027588852,0.2172502758885173
241,81,0.00165,-0.0075,81.1522485393294,0.15224853932940619
242,81,0.00255,-0.00267,81.50005162676334,0.5000516267633373
243,81,-0.00753,0.00161,84.04543922029518,3.0454392202951794
244,81,0.0058,-5.0e-5,81.91916606239774,0.9191660623977356
245,81,-0.0016,-0.00386,83.30680597497977,2.306805974979767
246,81,0.00797,0.00776,83.08291401629425,2.0829140162942537
247,81,0.00307,0.00401,80.67993960162603,-0.32006039837396827
248,81,-0.00107,0.00445,83.80565459025368,2.805654590253681
249,81,0.00536,0.00338,84.54275328076186,3.5427532807618576
250,81,-0.00329,0.0002,79.14977538344361,-1.850224616556389
251,81,-0.00855,0.00762,82.8934109404596,1.893410940459603
252,81,0.00273,0.00644,83.10012460613241,2.100124606132411
253,82,0.0,0.0,82.93655041879758,0.9365504187975802
254,82,-0.00403,-0.00849,86.40674846147255,4.406748461472546
255,82,-0.00577,-0.00318,80.67827234387215,-1.3217276561278481
256,82,0.00088,-0.00557,83.1271709650382,1.1271709650382036
257,82,0.00316,0.00121,83.8519038086832,1.851903808683204
258,82,0.00763,0.00886,84.77338092536178,2.773380925361778
259,82,0.00869,-0.00764,83.23256733676193,1.2325673367619316
260,82,0.00074,-0.00344,84.35123629204638,2.35123629204638
261,82,-0.00659,0.00095,84.77220357217874,2.7722035721787393
262,82,0.00165,-0.0075,82.81323854657067,0.8132385465706733
263,82,0.00255,-0.00267,85.64918180121808,3.6491818012180772
264,82,-0.00753,0.00161,87.8173548756479,5.817354875647894
265,82,0.0058,-5.0e-5,85.96127751786973,3.961277517869732
266,82,-0.0016,-0.00386,86.86283902171496,4.8628390217149615
267,82,0.00797,0.00776,85.19439268395605,3.1943926839560532
268,82,0.00307,0.00401,83.86123974428881,1.8612397442888096
269,82,-0.00107,0.00445,86.26549523710734,4.265495237107345
270,82,0.00536,0.00338,86.59482825134937,4.5948282513493695
271,82,-0.00329,0.0002,83.39816390996354,1.398163909963543
272,82,-0.00855,0.00762,83.38166353097436,1.3816635309743646
273,82,0.00273,0.00644,85.55312362334695,3.5531236233469485
274,83,0.0,0.0,83.47771469754201,0.47771469754201235
275,83,-0.00403,-0.00849,84.83541914344485,1.8354191434448524
276,83,-0.00577,-0.00318,84.37448242724568,1.374482427245681
277,83,0.00088,-0.00557,86.77177963824398,3.7717796382439843
278,83,0.00316,0.00121,83.83900284863468,0.8390028486346779
279,83,0.00763,0.00886,85.87048229124855,2.8704822912485497
280,83,0.00869,-0.00764,84.18872953946145,1.1887295394614483
281,83,0.00074,-0.00344,86.65034364523397,3.650343645233974
282,83,-0.00659,0.00095,84.46489379885526,1.4648937988552575
283,83,0.00165,-0.0075,86.10709378323186,3.1070937832318606
284,83,0.00255,-0.00267,86.29249402635024,3.2924940263502407
285,83,-0.00753,0.00161,87.83612652792021,4.836126527920214
286,83,0.0058,-5.0e-5,86.9659712361247,3.9659712361247017
287,83,-0.0016,-0.00386,87.13846737813762,4.138467378137619
288,83,0.00797,0.00776,87.50753167649076,4.507531676490757
289,83,0.00307,0.00401,84.26138735030212,1.2613873503021154
290,83,-0.00107,0.00445,90.73976266299202,7.739762662992021
291,83,0.00536,0.00338,88.29808008114675,5.29808008114675
292,83,-0.00329,0.0002,83.03259572593593,0.03259572593593418
293,83,-0.00855,0.00762,85.13429166625454,2.1342916662545406
294,83,0.00273,0.00644,87.4592270609049,4.459227060904894
295,84,0.0,0.0,84.97231295044651,0.9723129504465078
296,84,-0.00403,-0.00849,85.84507364864278,1.8450736486427814
297,84,-0.00577,-0.00318,86.5876498507757,2.587649850775705
298,84,0.00088,-0.00557,88.09671162972239,4.0967116297223924
299,84,0.00316,0.00121,85.2186776109502,1.218677610950195
300,84,0.00763,0.00886,86.53045344735075,2.5304534473507516
301,84,0.00869,-0.00764,83.5683774180725,-0.431622581927499
302,84,0.00074,-0.00344,87.89394462277805,3.8939446227780508
303,84,-0.00659,0.00095,84.01732732258306,0.017327322583057025
304,84,0.00165,-0.0075,86.51184966775058,2.5118496677505817
305,84,0.00255,-0.00267,85.751470669136,1.7514706691359976
306,84,-0.00753,0.00161,87.6804760174939,3.680476017493902
307,84,0.0058,-5.0e-5,85.6475002108724,1.6475002108723942
308,84,-0.0016,-0.00386,88.3777303431207,4.377730343120703
309,84,0.00797,0.00776,87.89017732519594,3.8901773251959355
310,84,0.00307,0.00401,84.92006958056194,0.9200695805619432
311,84,-0.00107,0.00445,89.97296529019627,5.972965290196271
312,84,0.00536,0.00338,87.85655753262095,3.856557532620954
313,84,-0.00329,0.0002,83.72743790775685,-0.27256209224314887
314,84,-0.00855,0.00762,86.40455230104325,2.4045523010432532
315,84,0.00273,0.00644,85.80915854277846,1.8091585427784622
316,87,0.0,0.0,84.14861105553575,-2.8513889444642473
317,87,-0.00403,-0.00849,91.92091858610219,4.920918586102189
318,87,-0.00577,-0.00318,87.03786316990414,0.03786316990414207
319,87,0.00088,-0.00557,88.58314445071213,1.5831444507121262
320,87,0.00316,0.00121,85.72095533892077,-1.2790446610792259
321,87,0.00763,0.00886,90.36208831288117,3.36208831288117
322,87,0.00869,-0.00764,87.71014176926343,0.71014176926343
323,87,0.00074,-0.00344,88.30648337777039,1.306483377770391
324,87,-0.00659,0.00095,88.12311955827847,1.123119558278475
325,87,0.00165,-0.0075,88.16011823990347,1.1601182399034684
326,87,0.00255,-0.00267,89.45843919471454,2.4584391947145434
327,87,-0.00753,0.00161,91.82826136562416,4.828261365624158
328,87,0.0058,-5.0e-5,88.73233347544334,1.7323334754433404
329,87,-0.0016,-0.00386,90.98140478517676,3.981404785176764
330,87,0.00797,0.00776,90.30535089379038,3.3053508937903757
331,87,0.00307,0.00401,85.79622619105072,-1.203773808949279
332,87,-0.00107,0.00445,91.47303551550506,4.47303551550506
333,87,0.00536,0.00338,90.68550638238128,3.685506382381277
334,87,-0.00329,0.0002,85.22443216060672,-1.7755678393932754
335,87,-0.00855,0.00762,89.74891544429873,2.7489154442987314
336,87,0.00273,0.00644,89.8754564507914,2.875456450791404
337,92,0.0,0.0,96.16462261000366,4.164622610003661
338,92,-0.00403,-0.00849,98.14061181616583,6.14061181616583
339,92,-0.00577,-0.00318,93.667634335166,1.6676343351659995
340,92,0.00088,-0.00557,94.65561348491599,2.655613484915989
341,92,0.00316,0.00121,95.3621314485731,3.362131448573095
342,92,0.00763,0.00886,96.42537156678735,4.425371566787348
343,92,0.00869,-0.00764,95.26015313013072,3.2601531301307176
344,92,0.00074,-0.00344,93.5388449320226,1.5388449320225988
345,92,-0.00659,0.00095,95.04977391949467,3.049773919494669
346,92,0.00165,-0.0075,94.27917410630738,2.27917410630738
347,92,0.00255,-0.00267,96.13863977376533,4.138639773765334
348,92,-0.00753,0.00161,96.03819588167813,4.038195881678135
349,92,0.0058,-5.0e-5,95.11755707834493,3.1175570783449302
350,92,-0.0016,-0.00386,95.10436479434385,3.1043647943438515
351,92,0.00797,0.00776,96.10304486491663,4.103044864916626
352,92,0.00307,0.00401,95.25502350941717,3.255023509417171
353,92,-0.00107,0.00445,97.72964971271996,5.7296497127199615
354,92,0.00536,0.00338,95.29955818885391,3.299558188853908
355,92,-0.00329,0.0002,96.23093484479502,4.230934844795016
356,92,-0.00855,0.00762,95.29224317507385,3.2922431750738497
357,92,0.00273,0.00644,96.18957873077845,4.18957873077845
358,102,0.0,0.0,103.7673876148954,1.767387614895398
359,102,-0.00403,-0.00849,107.36335284886971,5.3633528488697095
360,102,-0.00577,-0.00318,104.28653799467511,2.2865379946751148
361,102,0.00088,-0.00557,103.34578814044721,1.3457881404472118
362,102,0.00316,0.00121,101.80087617121254,-0.1991238287874637
363,102,0.00763,0.00886,103.55737786652233,1.5573778665223301
364,102,0.00869,-0.00764,103.14576248940507,1.1457624894050724
365,102,0.00074,-0.00344,103.09998694660511,1.0999869466051138
366,102,-0.00659,0.00095,105.54004307143988,3.5400430714398823
367,102,0.00165,-0.0075,104.5696774805384,2.5696774805384024
368,102,0.00255,-0.00267,104.89950715556026,2.899507155560258
369,102,-0.00753,0.00161,103.6546235950531,1.6546235950530956
370,102,0.0058,-5.0e-5,103.79625271339133,1.7962527133913255
371,102,-0.0016,-0.00386,103.75029408166492,1.7502940816649186
372,102,0.00797,0.00776,102.97777735009547,0.9777773500954652
373,102,0.00307,0.00401,101.24749226738187,-0.7525077326181275
374,102,-0.00107,0.00445,102.86994856847447,0.8699485684744701
375,102,0.00536,0.00338,101.51380983760404,-0.4861901623959568
376,102,-0.00329,0.0002,105.30763006441032,3.3076300644103185
377,102,-0.00855,0.00762,102.45834317962593,0.45834317962592763
378,102,0.00273,0.00644,103.07258161166091,1.0725816116609082
379,104,0.0,0.0,109.72827848775843,5.7282784877584305
380,104,-0.00403,-0.00849,110.42210225673632,6.4221022567363235
381,104,-0.00577,-0.00318,109.14300649319013,5.1430064931901285
382,104,0.00088,-0.00557,109.06918274035024,5.069182740350243
383,104,0.00316,0.00121,107.94986919168848,3.949869191688478
384,104,0.00763,0.00886,106.63640713081062,2.6364071308106247
385,104,0.00869,-0.00764,105.80411562027997,1.8041156202799726
386,104,0.00074,-0.00344,109.29514271613415,5.295142716134151
387,104,-0.00659,0.00095,109.38846460629554,5.388464606295543
388,104,0.00165,-0.0075,110.16468802983863,6.164688029838629
389,104,0.00255,-0.00267,108.30346113778049,4.303461137780488
390,104,-0.00753,0.00161,107.48449689208746,3.4844968920874635
391,104,0.0058,-5.0e-5,106.65445931916837,2.6544593191683674
392,104,-0.0016,-0.00386,108.32042092790472,4.3204209279047205
393,104,0.00797,0.00776,105.86705297757157,1.867052977571575
394,104,0.00307,0.00401,107.23426541520755,3.2342654152075454
395,104,-0.00107,0.00445,106.14242887286062,2.14242887286062
396,104,0.00536,0.00338,105.36900210144788,1.369002101447876
397,104,-0.00329,0.0002,110.48637572527375,6.486375725273746
398,104,-0.00855,0.00762,105.62014482830969,1.6201448283096909
399,104,0.00273,0.00644,106.51233750312402,2.512337503124016
400,105,0.0,0.0,109.93277489451539,4.93277489451539
401,105,-0.00403,-0.00849,111.03207251432907,6.032072514329073
402,105,-0.00577,-0.00318,110.19902785872173,5.199027858721735
403,105,0.00088,-0.00557,108.68758336399057,3.6875833639905693
404,105,0.00316,0.00121,108.41074175338242,3.4107417533824247
405,105,0.00763,0.00886,105.78457927741697,0.7845792774169666
406,105,0.00869,-0.00764,106.31919219309742,1.3191921930974218
407,105,0.00074,-0.00344,108.61316906556559,3.613169065565586
408,105,-0.00659,0.00095,109.85792499229002,4.857924992290023
409,105,0.00165,-0.0075,109.68581169667539,4.685811696675387
410,105,0.00255,-0.00267,108.29152580509992,3.2915258050999228
411,105,-0.00753,0.00161,108.51211325949166,3.512113259491656
412,105,0.0058,-5.0e-5,106.38539922159714,1.3853992215971402
413,105,-0.0016,-0.00386,108.10300007212248,3.1030000721224837
414,105,0.00797,0.00776,106.08821088655797,1.0882108865579738
415,105,0.00307,0.00401,107.57104271100948,2.5710427110094827
416,105,-0.00107,0.00445,106.81195467627272,1.8119546762727197
417,105,0.00536,0.00338,105.08922074283953,0.08922074283952952
418,105,-0.00329,0.0002,110.735572665506,5.735572665505998
419,105,-0.00855,0.00762,106.58970881752971,1.5897088175297114
420,105,0.00273,0.00644,107.16516466334241,2.1651646633424093
421,106,0.0,0.0,110.72964754856353,4.729647548563534
422,106,-0.00403,-0.00849,111.81509436367352,5.8150943636735235
423,106,-0.00577,-0.00318,111.0382413511904,5.038241351190393
424,106,0.00088,-0.00557,109.80792561390687,3.8079256139068747
425,106,0.00316,0.00121,108.85619833279466,2.856198332794662
426,106,0.00763,0.00886,106.44654321971912,0.4465432197191177
427,106,0.00869,-0.00764,107.36847976129678,1.3684797612967827
428,106,0.00074,-0.00344,109.4937112300301,3.493711230030101
429,106,-0.00659,0.00095,110.83263828589041,4.832638285890411
430,106,0.00165,-0.0075,110.83448579505495,4.834485795054945
431,106,0.00255,-0.00267,108.91195370860214,2.911953708602141
432,106,-0.00753,0.00161,109.27388847299963,3.27388847299963
433,106,0.0058,-5.0e-5,107.03533836418595,1.0353383641859466
434,106,-0.0016,-0.00386,108.98412115286719,2.984121152867189
435,106,0.00797,0.00776,106.67145971140363,0.671459711403628
436,106,0.00307,0.00401,108.17249687391069,2.1724968739106885
437,106,-0.00107,0.00445,107.42059934992552,1.4205993499255243
